Sexo;Edad;Estrato;Programa Académico;Año;P1 ;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33
Hombre;21;Estrato 4;Filosofia;2018;Ateo;Nunca;Ninguna;Ninguna;"Valores;Acompañamiento";Importante;Nada importante;Nada importante;Nada importante;Nada importante;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No sabe
Hombre;18;Estrato 3;Licenciatura Filosofia;2018;Agnostico;Nunca;Ninguna;Ninguna;"Valores;Moral, Etica";Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Izquierda;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Todas las anteriores;No sabe;No sabe
Mujer;25;Estrato 4;Licenciatura Filosofia;2011;Catolico;1 vez por semana;Movimiento social o politico;Creer en Dios;Valores;Importante;Muy importante;Importante;Muy importante;Ni poco importante Ni importante;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;Centro;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Cristiana;Obras sociales;No
Hombre;20;Estrato 2;Licenciatura Filosofia;2015;Ninguna;Nunca;Ninguna;Creer en Dios;Acompañamiento;Poco importante;Nada importante;Nada importante;Ni poco importante Ni importante;Nada importante;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;No sabe/No Responde;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No
Hombre;18;Estrato 2;Filosofia;2017;Ninguna;Nunca;Grupo Cultural;Ninguna;Ninguna;Poco importante;Ni poco importante Ni importante;Poco importante;Nada importante;Poco importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;No sabe/No Responde;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Cristiana;Lider religioso;No
Hombre;37;Estrato 3;Filosofia;2014;Catolico;1 vez por semana;Ninguna;Actualmente no asisto, por crítica sobre la institución derivada de las situaciones ocurridas con sus religiosos, quienes han abusado de las personas y no se ha realizado correciones sobre ello. Igualmente, las prohibiciones sobre el desarrollo de procesos psicológicos, sexuales y afectivos llevando a producir transgresiones ante los feligreses. Seguir y/o buscar a Dios necesariamente no necesita pasar por la institución denominada Creencia Religiosa, mediada por una construcción institucional humana llamada Iglesia. ;"Oración;Acompañamiento";Poco importante;Nada importante;Nada importante;Nada importante;Nada importante;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;No sabe/No Responde;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No sabe
Hombre;31;Estrato 3;Filosofia;2017;Ninguna;Nunca;Ninguna;Ninguna;Ninguna;Ni poco importante Ni importante;Poco importante;Poco importante;Poco importante;Nada importante;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Izquierda;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Evangelica;Conservacion del templo;No sabe
Hombre;24;Estrato 3;Licenciatura Filosofia;2012;Catolico;1 vez por semana;Ninguna;Creer en Dios;"Oracion;Moral, Etica";Muy importante;Muy importante;Muy importante;Muy importante;Importante;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Derecha;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;En desacuerdo;Evangelica;Obras sociales;Si
Mujer;21;Estrato 2;Trabajo Social;2017;Catolico;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Ni poco importante Ni importante;Nada importante;Poco importante;Importante;Totalmente en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Todas las anteriores;Conservacion del templo;Si
Mujer;19;Estrato 3;Trabajo Social;2016;Ninguna;Nunca;Ninguna;Ninguna;"Valores;Acompañamiento";Poco importante;Poco importante;Nada importante;Poco importante;Ni poco importante Ni importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Izquierda;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Cristiana;No sabe;Si
